交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/07/15,FE1,202007  ,24.7,25,24.6,24.95,0.4,1.63%,91.0,0,155,24.85,24.95,28.35,24.6,,一般,,
2020/07/15,FE1,202008  ,24.7,25,24.6,25,0.6,2.46%,98.0,25,213,24.75,26.8,27.6,24.6,,一般,,
2020/07/15,FE1,202009  ,-,-,-,-,-,-,0.0,25.05,4,24.75,-,27.95,25.45,,一般,,
2020/07/15,FE1,202012  ,-,-,-,-,-,-,0.0,24.85,2,24.75,-,26.3,25.5,,一般,,
2020/07/16,FE1,202008  ,25.15,25.15,24.8,24.9,-0.1,-0.40%,11.0,24.9,203,24.8,24.95,27.6,24.6,,一般,,
2020/07/16,FE1,202009  ,24.9,24.9,24.9,24.9,-0.15,-0.60%,4.0,24.9,5,24,25,27.95,24.9,,一般,,
2020/07/16,FE1,202012  ,-,-,-,-,-,-,0.0,24.75,2,24.8,-,26.3,25.5,,一般,,
2020/07/17,FE1,202008  ,24.55,24.55,24.5,24.5,-0.4,-1.61%,4.0,24.6,200,24.45,24.6,27.6,24.5,,一般,,
2020/07/17,FE1,202009  ,-,-,-,-,-,-,0.0,24.65,5,24.45,24.65,27.95,24.9,,一般,,
2020/07/17,FE1,202012  ,-,-,-,-,-,-,0.0,24.45,2,24.45,-,26.3,25.5,,一般,,
2020/07/20,FE1,202008  ,24.2,24.2,24.2,24.2,-0.4,-1.63%,2.0,24.4,198,23,24.55,27.6,24.2,,一般,,
2020/07/20,FE1,202009  ,24.2,24.2,24.2,24.2,-0.45,-1.83%,1.0,24.2,6,22.95,24.55,27.95,24.2,,一般,,
2020/07/20,FE1,202012  ,-,-,-,-,-,-,0.0,24.25,2,23,-,26.3,25.5,,一般,,
2020/07/21,FE1,202008  ,24.5,24.5,24.45,24.5,0.1,0.41%,16.0,24.6,188,24.1,24.95,27.6,24.2,,一般,,
2020/07/21,FE1,202009  ,24.45,24.45,24.45,24.45,0.25,1.03%,3.0,24.65,8,24.1,24.95,27.95,24.2,,一般,,
2020/07/21,FE1,202012  ,-,-,-,-,-,-,0.0,24.45,2,24.1,-,26.3,25.5,,一般,,
2020/07/22,FE1,202008  ,24.35,24.35,24.35,24.35,-0.25,-1.02%,3.0,24.5,185,24.35,24.85,27.6,24.2,,一般,,
2020/07/22,FE1,202009  ,-,-,-,-,-,-,0.0,24.45,8,24.2,24.85,27.95,24.2,,一般,,
2020/07/22,FE1,202012  ,-,-,-,-,-,-,0.0,24.35,2,-,-,26.3,25.5,,一般,,
2020/07/23,FE1,202008  ,24.35,24.35,24.35,24.35,-0.15,-0.61%,6.0,24.2,184,-,24.2,27.6,24.2,,一般,,
2020/07/23,FE1,202009  ,24.35,24.35,24.35,24.35,-0.1,-0.41%,2.0,24.2,10,-,24.2,27.95,24.2,,一般,,
2020/07/23,FE1,202012  ,-,-,-,-,-,-,0.0,24.2,2,24,-,26.3,25.5,,一般,,
2020/07/24,FE1,202008  ,23.7,23.7,23.7,23.7,-0.5,-2.07%,2.0,23.7,184,22.75,23.95,27.6,23.7,,一般,,
2020/07/24,FE1,202009  ,-,-,-,-,-,-,0.0,23.85,10,22.3,23.95,27.95,24.2,,一般,,
2020/07/24,FE1,202012  ,-,-,-,-,-,-,0.0,23.7,2,22.75,-,26.3,25.5,,一般,,
2020/07/27,FE1,202008  ,23,23,22.7,22.7,-1,-4.22%,5.0,22.7,184,21.7,22.95,27.6,22.7,,一般,,
2020/07/27,FE1,202009  ,22.7,22.7,22.7,22.7,-1.15,-4.82%,1.0,22.6,10,21.7,22.95,27.95,22.7,,一般,,
2020/07/27,FE1,202012  ,-,-,-,-,-,-,0.0,22.7,2,-,-,26.3,25.5,,一般,,
2020/07/28,FE1,202008  ,21.85,21.85,21.75,21.85,-0.85,-3.74%,10.0,22,180,-,21.9,27.6,21.75,,一般,,
2020/07/28,FE1,202009  ,21.85,21.85,21.8,21.8,-0.8,-3.54%,4.0,21.9,14,-,-,27.95,21.8,,一般,,
2020/07/28,FE1,202012  ,-,-,-,-,-,-,0.0,22,2,-,-,26.3,25.5,,一般,,
2020/07/29,FE1,202008  ,22.6,22.6,22.6,22.6,0.6,2.73%,3.0,22.5,180,20.1,22.6,27.6,21.75,,一般,,
2020/07/29,FE1,202009  ,-,-,-,-,-,-,0.0,22.4,14,20.05,22.6,27.95,21.8,,一般,,
2020/07/29,FE1,202012  ,-,-,-,-,-,-,0.0,22.5,2,-,-,26.3,25.5,,一般,,
2020/07/30,FE1,202008  ,23.35,23.35,23.35,23.35,0.85,3.78%,4.0,23.65,176,-,23.65,27.6,21.75,,一般,,
2020/07/30,FE1,202009  ,-,-,-,-,-,-,0.0,23.6,14,-,23.65,27.95,21.8,,一般,,
2020/07/30,FE1,202012  ,-,-,-,-,-,-,0.0,23.65,2,-,-,26.3,25.5,,一般,,
2020/07/31,FE1,202008  ,23.2,23.3,23.2,23.3,-0.35,-1.48%,2.0,23.3,177,-,24.3,27.6,21.75,,一般,,
2020/07/31,FE1,202009  ,-,-,-,-,-,-,0.0,23.25,14,-,24.3,27.95,21.8,,一般,,
2020/07/31,FE1,202012  ,-,-,-,-,-,-,0.0,23.3,2,-,-,26.3,25.5,,一般,,
2020/07/15,FE1,202007/202008    ,-0.05,-0.05,-0.1,-0.1,-,-,12.0,-,-,-,-,-0.01,-0.1,,一般,34.0,
2020/07/16,FE1,202008/202009    ,0.01,0.01,0.01,0.01,-,-,3.0,-,-,-0.77,0.01,0.01,0.01,,一般,0.0,
2020/07/20,FE1,202008/202009    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2020/07/21,FE1,202008/202009    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,3.0,
2020/07/23,FE1,202008/202009    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,2.0,
2020/07/27,FE1,202008/202009    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,1.0,
2020/07/28,FE1,202008/202009    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,4.0,
2020/08/03,FE1,202008  ,23.05,23.05,22.75,22.75,-0.55,-2.36%,2.0,22.5,177,21.4,23,27.6,21.75,,一般,,
2020/08/03,FE1,202009  ,-,-,-,-,-,-,0.0,22.5,14,21.4,23,27.95,21.8,,一般,,
2020/08/03,FE1,202012  ,-,-,-,-,-,-,0.0,22.5,2,-,-,26.3,25.5,,一般,,
2020/08/04,FE1,202008  ,22.7,22.7,22.7,22.7,0.2,0.89%,2.0,22.7,177,-,24.7,27.6,21.75,,一般,,
2020/08/04,FE1,202009  ,-,-,-,-,-,-,0.0,22.65,14,-,24.7,27.95,21.8,,一般,,
2020/08/04,FE1,202012  ,-,-,-,-,-,-,0.0,22.7,2,-,-,26.3,25.5,,一般,,
2020/08/05,FE1,202008  ,22.75,22.75,22.65,22.65,-0.05,-0.22%,2.0,22.7,176,22.15,23.2,27.6,21.75,,一般,,
2020/08/05,FE1,202009  ,22.7,22.7,22.7,22.7,0.05,0.22%,1.0,22.7,13,22.05,23.2,27.95,21.8,,一般,,
2020/08/05,FE1,202012  ,-,-,-,-,-,-,0.0,22.7,2,-,-,26.3,25.5,,一般,,
2020/08/06,FE1,202008  ,-,-,-,-,-,-,0.0,22.7,176,22.35,23.8,27.6,21.75,,一般,,
2020/08/06,FE1,202009  ,-,-,-,-,-,-,0.0,22.65,13,22.2,23.8,27.95,21.8,,一般,,
2020/08/06,FE1,202012  ,-,-,-,-,-,-,0.0,22.7,2,-,-,26.3,25.5,,一般,,
2020/08/07,FE1,202008  ,-,-,-,-,-,-,0.0,22.25,176,21.2,23.5,27.6,21.75,,一般,,
2020/08/07,FE1,202009  ,-,-,-,-,-,-,0.0,22.2,13,21.2,23.5,27.95,21.8,,一般,,
2020/08/07,FE1,202012  ,-,-,-,-,-,-,0.0,22.25,2,21.2,-,26.3,25.5,,一般,,
2020/08/10,FE1,202008  ,-,-,-,-,-,-,0.0,22.45,176,-,24.45,27.6,21.75,,一般,,
2020/08/10,FE1,202009  ,-,-,-,-,-,-,0.0,22.4,13,-,-,27.95,21.8,,一般,,
2020/08/10,FE1,202012  ,-,-,-,-,-,-,0.0,22.45,2,-,-,26.3,25.5,,一般,,
2020/08/11,FE1,202008  ,-,-,-,-,-,-,0.0,22.2,176,21,22.7,27.6,21.75,,一般,,
2020/08/11,FE1,202009  ,-,-,-,-,-,-,0.0,22.15,13,21,22.7,27.95,21.8,,一般,,
2020/08/11,FE1,202012  ,-,-,-,-,-,-,0.0,22.2,2,-,-,26.3,25.5,,一般,,
2020/08/12,FE1,202008  ,21.95,21.95,21.95,21.95,-0.25,-1.13%,4.0,22.05,172,20.5,22,27.6,21.75,,一般,,
2020/08/12,FE1,202009  ,-,-,-,-,-,-,0.0,22,13,-,22,27.95,21.8,,一般,,
2020/08/12,FE1,202012  ,-,-,-,-,-,-,0.0,22.05,2,-,-,26.3,25.5,,一般,,
2020/08/13,FE1,202008  ,-,-,-,-,-,-,0.0,21.75,172,20.15,21.85,27.6,21.75,,一般,,
2020/08/13,FE1,202009  ,-,-,-,-,-,-,0.0,21.7,13,20.05,21.85,27.95,21.8,,一般,,
2020/08/13,FE1,202012  ,-,-,-,-,-,-,0.0,21.75,2,-,-,26.3,25.5,,一般,,
2020/08/14,FE1,202008  ,21.45,21.45,21.45,21.45,-0.3,-1.38%,1.0,21.5,171,19.7,21.65,27.6,21.45,,一般,,
2020/08/14,FE1,202009  ,-,-,-,-,-,-,0.0,21.5,13,-,21.65,27.95,21.8,,一般,,
2020/08/14,FE1,202012  ,-,-,-,-,-,-,0.0,21.5,2,-,-,26.3,25.5,,一般,,
2020/08/17,FE1,202008  ,21.3,21.3,21.3,21.3,-0.2,-0.93%,3.0,21.3,170,-,-,27.6,21.3,,一般,,
2020/08/17,FE1,202009  ,21.3,21.3,21.3,21.3,-0.2,-0.93%,3.0,21.3,15,-,22,27.95,21.3,,一般,,
2020/08/17,FE1,202012  ,-,-,-,-,-,-,0.0,21.3,2,-,-,26.3,25.5,,一般,,
2020/08/18,FE1,202008  ,21.4,21.4,21.4,21.4,0.1,0.47%,10.0,21.4,170,19.4,21.4,27.6,21.3,,一般,,
2020/08/18,FE1,202009  ,21.4,21.4,21.4,21.4,0.1,0.47%,6.0,21.4,18,19.35,21.4,27.95,21.3,,一般,,
2020/08/18,FE1,202012  ,-,-,-,-,-,-,0.0,21.4,2,19.45,-,26.3,25.5,,一般,,
2020/08/19,FE1,202008  ,21.35,21.35,21.35,21.35,-0.05,-0.23%,6.0,0,170,20.65,20.95,27.6,21.3,,一般,,
2020/08/19,FE1,202009  ,21.35,21.35,20.75,20.75,-0.65,-3.04%,8.0,20.8,21,-,20.7,27.95,20.75,,一般,,
2020/08/19,FE1,202012  ,20.7,20.7,20.7,20.7,-0.7,-3.27%,2.0,20.7,0,-,-,26.3,20.7,,一般,,
2020/08/20,FE1,202009  ,20,20,19.9,19.9,-0.9,-4.33%,5.0,20.45,16,18.8,20.5,27.95,19.9,,一般,,
2020/08/21,FE1,202009  ,-,-,-,-,-,-,0.0,21.4,16,20.5,21.35,27.95,19.9,,一般,,
2020/08/24,FE1,202009  ,-,-,-,-,-,-,0.0,21.4,16,20.15,21.4,27.95,19.9,,一般,,
2020/08/25,FE1,202009  ,-,-,-,-,-,-,0.0,21.45,16,20.8,-,27.95,19.9,,一般,,
2020/08/26,FE1,202009  ,-,-,-,-,-,-,0.0,21.4,16,19.35,21.5,27.95,19.9,,一般,,
2020/08/27,FE1,202009  ,-,-,-,-,-,-,0.0,21.05,16,19.55,21.1,27.95,19.9,,一般,,
2020/08/28,FE1,202009  ,-,-,-,-,-,-,0.0,21.25,16,19.75,21.5,27.95,19.9,,一般,,
2020/08/31,FE1,202009  ,-,-,-,-,-,-,0.0,21.2,16,19.5,21.5,27.95,19.9,,一般,,
2020/08/17,FE1,202008/202009    ,-0.02,-0.02,-0.02,-0.02,-,-,2.0,-,-,-,-0.02,0.01,-0.02,,一般,1.0,
2020/08/18,FE1,202008/202009    ,-0.02,-0.02,-0.02,-0.02,-,-,3.0,-,-,-0.04,-0.02,0.01,-0.02,,一般,3.0,
2020/08/19,FE1,202008/202009    ,-0.02,-0.02,-0.02,-0.02,-,-,4.0,-,-,-,-,0.01,-0.02,,一般,2.0,
2020/09/01,FE1,202009  ,-,-,-,-,-,-,0.0,21.55,16,21.2,22,27.95,19.9,,一般,,
2020/09/02,FE1,202009  ,21.75,22.2,21.75,22.2,0.65,3.02%,2.0,22.35,16,-,-,27.95,19.9,,一般,,
2020/09/03,FE1,202009  ,-,-,-,-,-,-,0.0,22,16,21.65,-,27.95,19.9,,一般,,
2020/09/04,FE1,202009  ,-,-,-,-,-,-,0.0,21.4,16,20.15,22.75,27.95,19.9,,一般,,
2020/09/07,FE1,202009  ,-,-,-,-,-,-,0.0,22.35,16,22,23.4,27.95,19.9,,一般,,
2020/09/08,FE1,202009  ,-,-,-,-,-,-,0.0,21.95,16,21.6,22.15,27.95,19.9,,一般,,
2020/09/09,FE1,202009  ,-,-,-,-,-,-,0.0,22.7,16,19.85,23.7,27.95,19.9,,一般,,
2020/09/10,FE1,202009  ,-,-,-,-,-,-,0.0,22.8,16,20.9,24.9,27.95,19.9,,一般,,
2020/09/11,FE1,202009  ,23.2,23.2,21.9,22.15,-0.65,-2.85%,347.0,22.15,443,22.15,22.25,24.9,19.9,,一般,,
2020/09/11,FE1,202010  ,23.15,23.15,22,22.15,-0.6,-2.64%,59.0,22.1,477,22.15,22.3,23.15,21.15,,一般,,
2020/09/11,FE1,202012  ,22.4,22.4,22.4,22.4,-0.35,-1.54%,3.0,22.1,3505,-,-,22.65,21.4,,一般,,
2020/09/11,FE1,202106  ,-,-,-,-,-,-,0.0,22.15,1,-,-,22,22,,一般,,
2020/09/14,FE1,202009  ,22.15,22.2,21.2,21.2,-0.95,-4.29%,67.0,21.35,409,21.2,21.5,24.9,19.9,,一般,,
2020/09/14,FE1,202010  ,22,22,21.3,21.3,-0.8,-3.62%,24.0,21.45,479,21.3,21.7,23.15,21.15,,一般,,
2020/09/14,FE1,202012  ,-,-,-,-,-,-,0.0,21.3,3505,-,-,22.65,21.4,,一般,,
2020/09/14,FE1,202106  ,-,-,-,-,-,-,0.0,21.35,1,-,-,22,22,,一般,,
2020/09/15,FE1,202009  ,21.2,21.55,20.9,20.9,-0.45,-2.11%,170.0,21,404,20.7,21.4,24.9,19.9,,一般,,
2020/09/15,FE1,202010  ,21.3,21.6,20.9,20.9,-0.55,-2.56%,80.0,20.95,455,20.75,21.6,23.15,20.9,,一般,,
2020/09/15,FE1,202012  ,-,-,-,-,-,-,0.0,21.15,3505,-,-,22.65,21.4,,一般,,
2020/09/15,FE1,202106  ,-,-,-,-,-,-,0.0,21,1,-,-,22,22,,一般,,
2020/09/16,FE1,202009  ,20.9,21.1,20.7,21.1,0.1,0.48%,60.0,0,415,20.95,21.15,24.9,19.9,,一般,,
2020/09/16,FE1,202010  ,20.95,-,-,20.95,0,0.00%,15.0,21.25,445,20.8,-,23.15,20.9,,一般,,
2020/09/16,FE1,202012  ,-,-,-,-,-,-,0.0,21.25,3505,-,-,22.65,21.4,,一般,,
2020/09/16,FE1,202106  ,21.2,21.2,21.2,21.2,0.2,0.95%,1.0,21.1,1,-,-,22,21.2,,一般,,
2020/09/17,FE1,202010  ,21.35,21.35,21.35,21.35,0.1,0.47%,14.0,21.45,439,21.3,21.95,23.15,20.9,,一般,,
2020/09/17,FE1,202012  ,-,-,-,-,-,-,0.0,21.45,3505,-,-,22.65,21.4,,一般,,
2020/09/17,FE1,202106  ,-,-,-,-,-,-,0.0,21.3,1,-,-,22,21.2,,一般,,
2020/09/18,FE1,202010  ,21.4,21.4,21.4,21.4,-0.05,-0.23%,1.0,21.6,438,21.45,21.9,23.15,20.9,,一般,,
2020/09/18,FE1,202012  ,-,-,-,-,-,-,0.0,21.6,3505,-,-,22.65,21.4,,一般,,
2020/09/18,FE1,202106  ,-,-,-,-,-,-,0.0,21.45,1,-,-,22,21.2,,一般,,
2020/09/21,FE1,202010  ,21.8,21.8,21.25,21.25,-0.35,-1.62%,21.0,21.15,427,21,21.4,23.15,20.9,,一般,,
2020/09/21,FE1,202012  ,-,-,-,-,-,-,0.0,21.15,3505,-,-,22.65,21.4,,一般,,
2020/09/21,FE1,202106  ,-,-,-,-,-,-,0.0,21,1,-,-,22,21.2,,一般,,
2020/09/22,FE1,202010  ,-,-,-,-,-,-,0.0,20.65,427,20.5,23.2,23.15,20.9,,一般,,
2020/09/22,FE1,202012  ,-,-,-,-,-,-,0.0,20.65,3505,-,-,22.65,21.4,,一般,,
2020/09/22,FE1,202106  ,-,-,-,-,-,-,0.0,20.5,1,-,-,22,21.2,,一般,,
2020/09/23,FE1,202010  ,20.65,-,-,20.65,0,0.00%,22.0,20.5,405,20.2,22.65,23.15,20.9,,一般,,
2020/09/23,FE1,202012  ,20,20,20,20,-0.65,-3.15%,23.0,20.5,3527,18.7,22.7,22.65,20,,一般,,
2020/09/23,FE1,202106  ,-,-,-,-,-,-,0.0,20.35,1,-,-,22,21.2,,一般,,
2020/09/24,FE1,202010  ,19.85,19.85,19.3,19.3,-1.2,-5.85%,10.0,19.2,405,18.45,19.3,23.15,19.3,,一般,,
2020/09/24,FE1,202012  ,-,-,-,-,-,-,0.0,19.5,3527,18.45,19.35,22.65,20,,一般,,
2020/09/24,FE1,202106  ,-,-,-,-,-,-,0.0,19.05,1,-,-,22,21.2,,一般,,
2020/09/25,FE1,202010  ,19.2,19.2,19.05,19.05,-0.15,-0.78%,2.0,19.2,406,19,19.5,23.15,19.05,,一般,,
2020/09/25,FE1,202012  ,-,-,-,-,-,-,0.0,19.1,3527,17.55,19.55,22.65,20,,一般,,
2020/09/25,FE1,202106  ,-,-,-,-,-,-,0.0,19.05,1,-,-,22,21.2,,一般,,
2020/09/28,FE1,202010  ,-,-,-,-,-,-,0.0,19.3,406,19.05,19.85,23.15,19.05,,一般,,
2020/09/28,FE1,202012  ,-,-,-,-,-,-,0.0,19.2,3527,18.95,19.85,22.65,20,,一般,,
2020/09/28,FE1,202106  ,-,-,-,-,-,-,0.0,19.15,1,-,-,22,21.2,,一般,,
2020/09/29,FE1,202010  ,20,20,20,20,0.7,3.63%,1.0,20,406,19.3,21.2,23.15,19.05,,一般,,
2020/09/29,FE1,202012  ,-,-,-,-,-,-,0.0,19.9,3527,19.2,-,22.65,20,,一般,,
2020/09/29,FE1,202106  ,-,-,-,-,-,-,0.0,19.85,1,-,-,22,21.2,,一般,,
2020/09/30,FE1,202010  ,19.8,20,19.8,19.95,-0.05,-0.25%,5.0,19.95,405,19.8,20.1,23.15,19.05,,一般,,
2020/09/30,FE1,202012  ,-,-,-,-,-,-,0.0,19.85,3527,19.7,20.1,22.65,20,,一般,,
2020/09/30,FE1,202106  ,-,-,-,-,-,-,0.0,19.8,1,-,-,22,21.2,,一般,,
2020/09/11,FE1,202009/202010    ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,59.0,
2020/09/14,FE1,202009/202010    ,0.02,0.02,0.01,0.01,-,-,15.0,-,-,0.11,0.16,0.02,-0.31,,一般,6.0,
2020/09/15,FE1,202009/202010    ,0.21,0.24,-0.01,0.04,-,-,44.0,-,-,0.06,0.16,0.24,-0.31,,一般,31.0,
2020/09/16,FE1,202009/202010    ,0.05,0.05,0.05,0.05,-,-,15.0,-,-,-,-,0.24,-0.31,,一般,0.0,
2020/09/23,FE1,202010/202012    ,0.02,0.02,0.02,0.02,-,-,22.0,-,-,-,0.02,0.02,0,,一般,0.0,
2020/10/05,FE1,202010  ,-,-,-,-,-,-,0.0,19.9,405,18.05,-,23.15,19.05,,一般,,
2020/10/05,FE1,202012  ,-,-,-,-,-,-,0.0,19.8,3527,17.95,-,22.65,20,,一般,,
2020/10/05,FE1,202106  ,-,-,-,-,-,-,0.0,19.75,1,-,-,22,21.2,,一般,,
2020/10/06,FE1,202010  ,20.2,20.5,20.05,20.35,0.45,2.26%,10.0,20.3,403,18.1,20.5,23.15,19.05,,一般,,
2020/10/06,FE1,202012  ,-,-,-,-,-,-,0.0,20.2,3527,18,20.5,22.65,20,,一般,,
2020/10/06,FE1,202106  ,-,-,-,-,-,-,0.0,20.15,1,-,-,22,21.2,,一般,,
2020/10/07,FE1,202010  ,-,-,-,-,-,-,0.0,20,403,19.7,-,23.15,19.05,,一般,,
2020/10/07,FE1,202012  ,-,-,-,-,-,-,0.0,19.9,3527,19.6,-,22.65,20,,一般,,
2020/10/07,FE1,202106  ,-,-,-,-,-,-,0.0,19.85,1,-,-,22,21.2,,一般,,
2020/10/08,FE1,202010  ,20,20.4,20,20.4,0.4,2.00%,2.0,20.55,402,20.45,21.95,23.15,19.05,,一般,,
2020/10/08,FE1,202012  ,-,-,-,-,-,-,0.0,20.45,3527,20.35,-,22.65,20,,一般,,
2020/10/08,FE1,202106  ,-,-,-,-,-,-,0.0,20.4,1,-,-,22,21.2,,一般,,
2020/10/12,FE1,202010  ,-,-,-,-,-,-,0.0,22.6,402,22.6,-,23.15,19.05,,一般,,
2020/10/12,FE1,202012  ,-,-,-,-,-,-,0.0,22.45,3527,18.5,-,22.65,20,,一般,,
2020/10/12,FE1,202106  ,-,-,-,-,-,-,0.0,22.4,1,-,-,22,21.2,,一般,,
2020/10/13,FE1,202010  ,22.6,23,22.2,23,0.4,1.77%,55.0,23.15,446,22.75,23.15,23.15,19.05,,一般,,
2020/10/13,FE1,202012  ,-,-,-,-,-,-,0.0,23.05,3527,20.3,23.15,22.65,20,,一般,,
2020/10/13,FE1,202106  ,-,-,-,-,-,-,0.0,22.95,1,-,-,22,21.2,,一般,,
2020/10/14,FE1,202010  ,-,-,-,-,-,-,0.0,22.95,446,22.7,23,23.15,19.05,,一般,,
2020/10/14,FE1,202012  ,-,-,-,-,-,-,0.0,22.85,3527,22.05,23,22.65,20,,一般,,
2020/10/14,FE1,202106  ,-,-,-,-,-,-,0.0,22.75,1,-,-,22,21.2,,一般,,
2020/10/15,FE1,202010  ,22.2,22.2,22.2,22.2,-0.75,-3.27%,1.0,22.5,445,22.2,22.5,23.15,19.05,,一般,,
2020/10/15,FE1,202012  ,-,-,-,-,-,-,0.0,22.4,3527,21.55,22.5,22.65,20,,一般,,
2020/10/15,FE1,202106  ,-,-,-,-,-,-,0.0,22.3,1,-,-,22,21.2,,一般,,
2020/10/16,FE1,202010  ,21.9,21.9,21.85,21.85,-0.65,-2.89%,5.0,21.8,442,21.7,22.1,23.15,19.05,,一般,,
2020/10/16,FE1,202012  ,-,-,-,-,-,-,0.0,21.7,3527,21.35,22,22.65,20,,一般,,
2020/10/16,FE1,202106  ,-,-,-,-,-,-,0.0,21.6,1,-,-,22,21.2,,一般,,
2020/10/19,FE1,202010  ,21.5,21.5,21.45,21.45,-0.35,-1.61%,2.0,21.5,440,21.45,21.95,23.15,19.05,,一般,,
2020/10/19,FE1,202012  ,-,-,-,-,-,-,0.0,21.4,3527,20.8,21.85,22.65,20,,一般,,
2020/10/19,FE1,202106  ,-,-,-,-,-,-,0.0,21.3,1,-,-,22,21.2,,一般,,
2020/10/20,FE1,202010  ,21,21,20.95,20.95,-0.55,-2.56%,5.0,20.95,438,20.85,21.05,23.15,19.05,,一般,,
2020/10/20,FE1,202012  ,-,-,-,-,-,-,0.0,20.8,3527,20.4,21.6,22.65,20,,一般,,
2020/10/20,FE1,202106  ,-,-,-,-,-,-,0.0,20.7,1,-,-,22,21.2,,一般,,
2020/10/21,FE1,202010  ,21.7,22,21.7,22,1.05,5.01%,5.0,0,434,22,22.1,23.15,19.05,,一般,,
2020/10/21,FE1,202012  ,-,-,-,-,-,-,0.0,21.95,3527,21.4,22.35,22.65,20,,一般,,
2020/10/21,FE1,202106  ,-,-,-,-,-,-,0.0,21.85,1,-,-,22,21.2,,一般,,
2020/10/22,FE1,202012  ,21.4,21.4,21.4,21.4,-0.55,-2.51%,3.0,21.3,3527,21.05,22.1,22.65,20,,一般,,
2020/10/22,FE1,202106  ,-,-,-,-,-,-,0.0,21.2,1,-,-,22,21.2,,一般,,
2020/10/23,FE1,202012  ,-,-,-,-,-,-,0.0,21.55,3527,21.35,21.9,22.65,20,,一般,,
2020/10/23,FE1,202106  ,-,-,-,-,-,-,0.0,21.5,1,-,-,22,21.2,,一般,,
2020/10/26,FE1,202012  ,-,-,-,-,-,-,0.0,21.55,3527,21.2,22.25,22.65,20,,一般,,
2020/10/26,FE1,202106  ,-,-,-,-,-,-,0.0,21.5,1,-,-,22,21.2,,一般,,
2020/10/27,FE1,202012  ,-,-,-,-,-,-,0.0,22.15,3527,21.9,22.3,22.65,20,,一般,,
2020/10/27,FE1,202106  ,-,-,-,-,-,-,0.0,22.05,1,-,-,22,21.2,,一般,,
2020/10/28,FE1,202012  ,-,-,-,-,-,-,0.0,23.45,3527,23,-,22.65,20,,一般,,
2020/10/28,FE1,202106  ,-,-,-,-,-,-,0.0,23.45,1,-,-,22,21.2,,一般,,
2020/10/29,FE1,202012  ,-,-,-,-,-,-,0.0,23.15,3527,23,23.55,22.65,20,,一般,,
2020/10/29,FE1,202106  ,-,-,-,-,-,-,0.0,23.15,1,-,-,22,21.2,,一般,,
2020/10/30,FE1,202012  ,23,23,22.8,22.8,-0.35,-1.51%,3505.0,22.4,82,22.05,25.25,23,20,,一般,,
2020/10/30,FE1,202106  ,-,-,-,-,-,-,0.0,22.4,1,-,-,22,21.2,,一般,,
2020/11/02,FE1,202012  ,23.3,23.3,23.3,23.3,0.9,4.02%,1.0,23.8,82,23.65,24.2,23.3,20,,一般,,
2020/11/02,FE1,202106  ,-,-,-,-,-,-,0.0,23.85,1,-,-,22,21.2,,一般,,
2020/11/03,FE1,202012  ,24,24.8,23.9,24.55,0.75,3.15%,17.0,24.65,78,24.6,24.85,24.8,20,,一般,,
2020/11/03,FE1,202106  ,-,-,-,-,-,-,0.0,24.75,1,-,-,22,21.2,,一般,,
2020/11/04,FE1,202012  ,24.5,24.5,24.5,24.5,-0.15,-0.61%,1.0,25.05,78,24.95,25.15,24.8,20,,一般,,
2020/11/04,FE1,202106  ,-,-,-,-,-,-,0.0,25,1,-,-,22,21.2,,一般,,
2020/11/05,FE1,202012  ,25,25,24.8,24.8,-0.25,-1.00%,4.0,24.45,78,24.2,25,25,20,,一般,,
2020/11/05,FE1,202106  ,-,-,-,-,-,-,0.0,24.7,1,-,-,22,21.2,,一般,,
2020/11/06,FE1,202012  ,-,-,-,-,-,-,0.0,24.7,78,24.65,25,25,20,,一般,,
2020/11/06,FE1,202106  ,-,-,-,-,-,-,0.0,25,1,-,-,22,21.2,,一般,,
2020/11/09,FE1,202012  ,-,-,-,-,-,-,0.0,25.45,78,25.25,25.8,25,20,,一般,,
2020/11/09,FE1,202106  ,-,-,-,-,-,-,0.0,25.7,1,-,-,22,21.2,,一般,,
2020/11/10,FE1,202012  ,25.2,25.2,25.2,25.2,-0.25,-0.98%,1.0,25.45,79,25.3,26.2,25.2,20,,一般,,
2020/11/10,FE1,202106  ,-,-,-,-,-,-,0.0,25.65,1,-,-,22,21.2,,一般,,
2020/11/11,FE1,202012  ,-,-,-,-,-,-,0.0,25.35,79,25.05,26.15,25.2,20,,一般,,
2020/11/11,FE1,202106  ,-,-,-,-,-,-,0.0,25.55,1,-,-,22,21.2,,一般,,
2020/11/12,FE1,202012  ,-,-,-,-,-,-,0.0,25.35,79,25,26.15,25.2,20,,一般,,
2020/11/12,FE1,202106  ,-,-,-,-,-,-,0.0,25.5,1,-,-,22,21.2,,一般,,
